x,y,c
39,254,2
379,143,2
779,598,7
474,370,0
838,96,0
123,155,2
117,456,5
250,512,5
156,832,5
619,458,0
728,602,7
615,618,6
335,357,5
798,109,0
45,100,2
78,676,5
97,452,5
114,847,5
391,509,6
455,308,0
518,690,6
27,266,5
84,188,2
94,402,5
105,156,2
574,848,1
714,864,4
733,871,4
495,8,2
742,27,0
663,129,0
753,771,3
346,529,6
2,254,5
344,196,2
152,20,2
304,47,2
797,945,4
379,59,2
698,342,0
314,405,5
573,209,0
564,739,1
389,78,2
781,305,0
533,590,6
476,636,6
335,718,1
844,815,3
947,843,3
86,133,2
808,909,4
116,830,5
402,177,2
328,205,2
613,404,0
294,233,2
377,60,2
680,451,0
638,873,4
257,855,1
842,436,0
148,359,5
505,671,6
558,524,6
260,406,5
969,62,0
453,68,2
626,822,1
985,97,0
397,266,2
415,586,6
775,417,0
81,929,1
61,959,1
721,47,0
131,83,2
214,823,1
871,536,7
966,173,0
976,761,3
894,279,0
873,160,0
144,523,5
650,160,0
796,545,7
345,81,2
170,514,5
164,853,1
494,729,1
770,729,7
973,625,7
899,837,3
136,551,5
510,680,6
447,769,1
730,677,7
440,111,2
814,411,0
960,761,3
756,332,0
488,514,6
763,299,0
267,579,5
389,556,6
992,611,7
241,959,1
755,253,0
434,549,6
201,427,5
919,734,3
700,626,7
204,618,5
131,629,5
872,998,4
237,894,1
961,482,7
895,699,7
381,233,2
821,30,0
290,360,5
430,575,6
201,586,5
147,45,2
894,771,3
712,643,7
627,452,0
500,376,0
230,510,5
374,802,1
960,611,7
105,499,5
263,337,5
489,180,0
454,232,0
502,345,0
923,287,0
0,630,5
978,50,0
788,809,3
352,942,1
543,631,6
691,784,4
879,811,3
624,635,6
450,212,2
588,672,6
713,79,0
343,283,2
845,813,3
374,387,6
6,399,5
328,946,1
840,630,7
36,294,5
110,207,2
865,856,3
507,904,1
533,187,0
663,884,4
114,695,5
814,221,0
566,878,1
472,67,2
866,286,0
484,767,1
829,289,0
518,757,1
226,297,2
955,210,0
831,696,7
267,674,5
935,655,7
830,285,0
875,853,3
466,546,6
948,442,7
796,269,0
836,357,0
580,53,0
174,667,5
334,985,1
107,729,5
14,917,5
87,420,5
764,79,0
723,438,0
968,31,0
284,140,2
608,374,0
571,478,6
392,838,1
518,518,6
129,802,5
176,45,2
261,95,2
365,402,5
194,492,5
96,540,5
29,70,2
64,50,2
321,495,5
904,441,7
952,495,7
78,926,5
344,852,1
775,493,7
570,566,6
505,985,1
727,350,0
657,845,4
764,873,4
981,818,3
736,391,0
980,754,3
52,800,5
525,509,6
322,489,5
630,825,1
208,283,2
239,287,2
183,942,1
6,835,5
919,396,0
731,421,0
838,288,0
718,862,4
825,833,3
480,133,2
346,26,2
848,443,0
666,156,0
55,467,5
408,709,1
990,982,3
291,3,2
366,613,6
213,948,1
847,641,7
384,456,6
774,128,0
653,465,0
633,8,0
739,513,7
605,609,6
277,357,5
546,878,1
944,345,0
684,21,0
555,44,0
438,39,2
471,421,6
738,650,7
89,182,2
484,853,1
933,568,7
888,691,7
5,576,5
505,163,0
827,448,0
780,471,0
660,121,0
59,837,5
445,503,6
430,315,0
450,461,6
727,630,7
812,539,7
925,491,7
179,805,5
164,847,1
21,950,5
83,117,2
134,397,5
270,943,1
432,799,1
108,991,1
28,597,5
436,366,0
594,231,0
756,148,0
118,776,5
978,121,0
939,980,3
870,123,0
724,984,4
735,273,0
201,282,2
46,0,2
151,481,5
696,932,4
387,189,2
447,97,2
632,145,0
323,946,1
999,520,7
341,442,5
758,278,0
141,849,5
964,601,7
805,649,7
140,504,5
645,281,0
208,402,5
912,50,0
112,154,2
919,753,3
316,170,2
332,68,2
518,670,6
202,97,2
827,290,0
547,235,0
515,870,1
234,189,2
254,649,5
874,292,0
714,156,0
406,225,2
875,312,0
803,636,7
410,362,6
603,999,4
170,454,5
51,538,5
678,619,6
384,74,2
38,926,5
485,152,2
332,0,2
103,951,1
506,300,0
205,862,1
607,44,0
362,495,6
754,243,0
822,174,0
381,57,2
316,766,1
317,218,2
573,793,1
49,752,5
12,871,5
850,202,0
483,473,6
634,661,6
734,749,7
903,194,0
606,589,6
690,352,0
226,451,5
491,820,1
753,504,7
232,270,2
386,118,2
758,29,0
80,938,1
367,910,1
832,446,0
964,361,0
781,829,3
485,388,0
406,633,6
886,132,0
870,753,3
708,41,0
772,423,0
921,362,0
60,818,5
116,809,5
814,622,7
445,152,2
205,501,5
615,707,6
883,800,3
951,800,3
371,206,2
284,565,5
231,921,1
223,73,2
771,60,0
277,614,5
609,545,6
202,349,5
495,427,6
521,330,0
126,352,5
889,777,3
564,825,1
346,306,2
109,901,1
793,81,0
693,474,0
911,817,3
689,437,0
401,673,6
766,797,3
188,191,2
178,619,5
751,957,4
954,228,0
877,266,0
684,114,0
323,26,2
222,912,1
823,944,4
750,684,7
570,995,1
403,858,1
352,614,6
556,975,1
469,53,2
760,907,4
641,365,0
517,251,0
543,291,0
317,541,5
491,592,6
214,453,5
842,483,7
225,112,2
647,175,0
110,127,2
851,958,4
605,470,6
228,743,5
208,829,1
962,956,3
639,151,0
942,111,0
268,250,2
507,382,0
448,270,0
841,364,0
510,417,6
495,586,6
303,898,1
898,558,7
861,172,0
532,851,1
619,6,0
342,529,5
389,33,2
976,823,3
277,177,2
104,645,5
365,695,1
666,423,0
892,439,7
280,183,2
962,22,0
354,777,1
630,326,0
455,270,0
507,732,1
692,481,0
750,585,7
364,78,2
371,121,2
865,556,7
688,521,6
482,32,2
114,636,5
765,836,4
407,423,6
567,960,1
28,787,5
818,888,4
904,875,3
678,493,0
152,759,5
507,585,6
980,377,0
910,573,7
562,598,6
3,685,5
178,70,2
369,111,2
882,855,3
108,671,5
738,487,0
871,151,0
299,505,5
240,677,5
499,611,6
32,493,5
196,405,5
643,57,0
279,972,1
933,278,0
202,7,2
790,969,4
194,66,2
936,802,3
637,177,0
254,440,5
542,783,1
231,524,5
126,169,2
67,370,5
705,484,0
389,310,2
408,94,2
322,491,5
293,779,1
329,466,5
60,558,5
651,561,6
703,867,4
757,802,3
946,858,3
19,813,5
993,511,7
632,392,0
767,272,0
467,350,0
865,263,0
796,831,3
618,985,4
488,407,6
656,862,4
633,488,6
574,801,1
33,308,5
587,258,0
48,653,5
443,194,2
781,160,0
181,831,1
393,379,6
773,585,7
402,394,6
699,140,0
406,720,1
259,975,1
646,19,0
446,404,6
254,9,2
946,417,7
642,986,4
709,535,7
202,142,2
591,449,0
937,9,0
945,182,0
547,651,6
64,307,5
86,277,5
447,659,6
546,185,0
364,696,1
323,169,2
497,175,0
543,699,6
510,198,0
739,68,0
149,721,5
715,434,0
454,622,6
610,582,6
804,430,0
230,226,2
88,677,5
63,399,5
29,483,5
185,283,2
27,284,5
73,464,5
552,597,6
957,616,7
436,64,2
846,416,0
667,122,0
26,171,2
160,218,2
245,33,2
496,789,1
985,127,0
965,672,7
830,625,7
581,861,1
699,76,0
178,843,1
933,601,7
339,679,1
127,287,5
186,511,5
739,593,7
775,464,0
680,608,6
974,245,0
317,673,1
972,828,3
533,922,1
575,772,1
443,209,2
455,698,6
335,943,1
112,516,5
505,275,0
265,549,5
94,89,2
594,234,0
754,852,4
433,828,1
933,545,7
686,679,7
16,47,2
168,234,2
697,796,4
399,889,1
749,641,7
451,248,0
286,105,2
653,416,0
413,574,6
260,222,2
234,709,5
323,434,5
945,379,0
50,110,2
607,327,0
689,0,0
94,554,5
932,353,0
246,940,1
51,743,5
317,801,1
353,887,1
847,796,3
528,855,1
769,283,0
163,836,1
402,379,6
637,815,4
699,749,7
248,933,1
473,73,2
511,423,6
865,826,3
864,343,0
51,91,2
676,21,0
810,496,7
394,113,2
723,559,7
763,721,7
11,344,5
31,109,2
558,876,1
95,49,2
654,538,6
868,667,7
705,520,7
209,670,5
590,655,6
12,254,2
161,831,5
787,148,0
77,230,2
252,772,1
25,251,2
213,566,5
70,399,5
902,650,7
72,287,5
395,80,2
939,411,7
967,870,3
120,410,5
669,963,4
95,530,5
872,252,0
31,290,5
726,52,0
829,435,0
592,602,6
42,807,5
102,213,2
128,16,2
497,187,0
949,12,0
528,51,2
777,31,0
279,223,2
405,801,1
917,727,3
460,98,2
924,625,7
222,604,5
903,397,0
731,704,7
759,921,4
397,403,6
182,760,5
929,458,7
56,336,5
608,995,4
87,379,5
576,990,1
294,990,1
424,829,1
271,657,5
93,704,5
329,783,1
238,755,1
324,583,5
774,92,0
616,473,6
659,599,6
877,269,0
243,613,5
195,760,5
103,725,5
494,984,1
610,505,6
946,555,7
683,172,0
421,419,6
353,850,1
997,716,3
222,41,2
367,513,6
440,815,1
170,588,5
268,964,1
604,5,0
323,369,5
51,317,5
898,537,7
774,986,4
101,791,5
853,189,0
92,520,5
350,483,5
160,506,5
522,842,1
191,301,5
935,597,7
462,18,2
183,176,2
607,609,6
449,39,2
988,7,0
206,445,5
866,775,3
15,545,5
833,688,7
149,286,2
435,944,1
642,218,0
459,264,0
710,623,7
104,152,2
300,441,5
674,3,0
862,575,7
165,727,5
261,413,5
539,502,6
694,705,7
983,632,7
673,789,4
615,501,6
884,52,0
673,525,6
248,568,5
450,946,1
587,716,6
258,57,2
566,926,1
860,77,0
862,471,7
69,52,2
792,901,4
843,454,7
297,9,2
936,539,7
501,813,1
743,925,4
89,888,5
406,886,1
650,909,4
124,538,5
391,592,6
893,256,0
436,667,6
363,629,6
825,137,0
392,634,6
323,785,1
18,232,2
945,924,3
518,545,6
849,522,7
840,888,3
476,10,2
641,499,6
231,889,1
730,951,4
580,845,1
656,302,0
912,554,7
784,285,0
838,732,3
77,833,5
500,311,0
208,827,1
317,836,1
160,240,2
207,484,5
18,710,5
277,753,1
490,844,1
903,659,7
307,794,1
521,953,1
299,57,2
897,905,3
515,596,6
205,74,2
709,551,7
805,231,0
582,927,1
76,551,5
239,994,1
53,75,2
647,408,0
868,111,0
779,482,7
178,572,5
152,298,5
869,749,3
519,932,1
288,81,2
435,43,2
446,793,1
280,470,5
549,571,6
332,380,5
800,462,0
2,255,5
773,870,4
188,157,2
145,890,1
201,516,5
937,20,0
120,463,5
426,953,1
116,412,5
651,410,0
752,33,0
529,642,6
189,118,2
875,553,7
673,731,6
280,313,2
570,13,2
814,951,4
524,598,6
148,787,5
559,131,0
354,363,5
20,914,5
743,869,4
833,995,4
851,724,3
395,366,6
639,261,0
476,333,0
529,907,1
78,219,2
828,735,3
775,574,7
224,668,5
165,761,5
973,386,0
899,286,0
206,697,5
524,434,6
820,457,7
519,256,0
584,591,6
852,610,7
174,642,5
823,197,0
318,631,5
578,245,0
132,250,2
784,553,7
882,806,3
343,376,5
325,623,6
301,253,2
869,621,7
487,39,2
873,260,0
965,851,3
147,82,2
866,654,7
983,433,7
83,173,2
650,158,0
694,368,0
168,192,2
709,575,7
966,421,7
779,99,0
194,17,2
94,616,5
784,473,7
94,905,5
566,943,1
68,213,2
666,6,0
206,921,1
898,329,0
219,734,5
301,727,1
506,380,0
56,322,5
536,647,6
555,608,6
289,281,2
485,281,0
710,504,7
989,323,0
320,369,5
11,290,5
900,317,0
871,139,0
432,923,1
432,451,6
133,895,1
39,548,5
813,697,7
669,984,4
886,249,0
257,361,5
176,434,5
87,408,5
452,124,2
590,516,6
94,230,2
841,741,3
940,451,7
784,297,0
591,173,0
847,271,0
601,520,6
840,27,0
743,200,0
93,874,5
330,477,5
816,246,0
769,766,3
102,579,5
569,692,6
825,595,7
671,912,4
830,552,7
773,752,3
799,496,7
523,806,1
553,613,6
40,249,2
672,613,6
681,464,0
865,343,0
770,204,0
504,32,2
419,878,1
84,797,5
180,273,2
464,146,2
564,608,6
507,634,6
926,595,7
138,23,2
861,190,0
13,189,2
810,35,0
103,258,2
267,922,1
201,329,5
822,613,7
962,991,3
503,601,6
800,949,4
582,705,6
410,183,2
76,597,5
81,716,5
568,972,1
627,368,0
493,318,0
298,62,2
606,373,0
605,346,0
164,772,5
