x,y,c
41,467,0
334,500,1
169,724,2
478,358,3
962,464,4
705,145,5
281,827,2
961,491,4
995,942,7
827,436,4
391,604,1
902,153,5
292,382,1
421,716,6
718,895,7
447,726,6
771,538,4
869,912,7
667,299,5
35,894,2
703,811,7
322,333,1
673,664,4
141,711,2
253,868,2
547,644,6
662,757,6
37,859,2
723,741,7
529,778,6
316,35,3
190,842,2
288,106,0
40,942,2
264,648,1
446,805,6
890,729,7
370,350,1
6,101,0
393,548,1
629,623,4
84,954,2
756,840,7
966,376,5
931,308,5
944,439,4
626,323,3
537,538,1
118,82,0
929,541,4
833,115,5
639,658,4
704,930,7
977,306,5
673,386,4
21,745,2
924,72,5
270,829,2
777,573,4
97,512,1
986,290,5
161,636,2
355,767,6
655,574,4
31,52,0
350,150,3
941,724,7
966,430,4
107,191,0
7,337,0
457,287,3
753,383,4
945,909,7
209,758,2
221,588,1
422,946,6
506,30,3
413,168,3
900,591,4
762,655,4
410,359,1
624,537,4
548,483,1
595,41,3
602,350,3
291,836,2
374,20,3
596,21,3
348,199,3
668,484,4
281,734,2
53,999,2
418,938,6
900,788,7
127,467,1
728,893,7
648,483,4
807,421,4
310,617,1
813,514,4
309,616,1
935,451,4
600,249,3
519,556,1
798,303,5
224,8,0
844,609,4
989,702,7
195,485,1
93,343,0
523,587,1
314,503,1
448,200,3
458,618,1
580,796,6
798,281,5
589,798,6
9,157,0
472,622,1
538,292,3
38,179,0
190,657,2
958,191,5
815,888,7
156,511,1
202,634,2
272,55,0
328,646,1
362,886,6
875,433,4
869,142,5
844,416,4
881,998,7
322,651,1
21,699,2
557,476,4
892,389,4
75,712,2
600,510,4
3,869,2
861,688,7
401,789,6
255,423,1
2,585,2
182,285,0
88,426,0
617,757,6
832,932,7
169,154,0
721,189,5
976,329,5
368,692,1
425,555,1
434,549,1
441,512,1
145,60,0
718,753,7
139,423,0
279,996,2
687,529,4
549,437,1
866,949,7
193,195,0
297,416,1
286,105,0
488,282,3
455,734,6
114,701,2
316,671,1
786,263,5
313,355,1
185,53,0
912,808,7
832,945,7
313,756,2
321,558,1
646,982,6
481,144,3
196,222,0
129,161,0
535,450,1
173,466,1
44,659,2
292,439,1
253,24,0
154,510,1
745,649,4
186,313,0
474,22,3
168,18,0
787,905,7
958,391,4
202,625,1
477,414,1
314,824,2
334,874,6
372,159,3
833,70,5
487,297,3
518,177,3
773,270,5
763,668,4
192,985,2
102,480,1
213,627,1
802,99,5
527,625,6
543,924,6
23,972,2
61,181,0
3,432,0
505,593,1
725,31,5
492,142,3
222,286,0
64,900,2
187,360,0
413,974,6
270,170,0
235,833,2
711,760,7
896,667,7
285,550,1
140,694,2
695,624,4
19,125,0
576,694,6
658,302,5
371,466,1
678,593,4
851,484,4
18,464,0
119,152,0
800,87,5
60,926,2
10,757,2
170,315,0
576,227,3
43,758,2
164,109,0
882,86,5
565,487,4
577,474,4
625,627,4
629,928,6
423,520,1
902,962,7
123,596,2
737,261,5
195,525,1
264,260,0
202,116,0
30,326,0
11,771,2
411,547,1
153,520,1
790,924,7
188,763,2
940,851,7
662,829,6
900,713,7
958,578,4
365,7,3
477,200,3
58,439,0
303,760,2
357,324,1
477,108,3
113,887,2
801,850,7
460,428,1
993,384,5
405,540,1
111,704,2
835,356,4
72,350,0
823,485,4
556,216,3
626,357,4
526,357,3
337,271,3
869,361,5
896,22,5
617,112,3
717,696,4
585,41,3
423,129,3
229,565,1
559,932,6
296,855,2
53,962,2
584,734,6
654,972,6
457,369,1
532,963,6
607,483,4
911,635,4
67,848,2
675,938,6
223,142,0
754,511,4
741,175,5
459,825,6
