n = 10
x = 10
y = 10
z = 10
		0		1		2		3		4		5		6		7		8		9		10
0    	3.32834e-08	3.32834e-06	6.73989e-05	0.000479281	0.0014678	0.00211363	0.0014678	0.000479281	6.73989e-05	3.32834e-06	3.32834e-08	
1    	3.32834e-06	0.000149775	0.0017973	0.00838741	0.0176136	0.0176136	0.00838741	0.0017973	0.000149775	3.32834e-06	0.000000	
2    	6.73989e-05	0.0017973	0.0141538	0.045292	0.0660509	0.045292	0.0141538	0.0017973	6.73989e-05	0.000000	0.000000	
3    	0.000479281	0.00838741	0.045292	0.100649	0.100649	0.045292	0.00838741	0.000479281	0.000000	0.000000	0.000000	
4    	0.0014678	0.0176136	0.0660509	0.100649	0.0660509	0.0176136	0.0014678	0.000000	0.000000	0.000000	0.000000	
5    	0.00211363	0.0176136	0.045292	0.045292	0.0176136	0.00211363	0.000000	0.000000	0.000000	0.000000	0.000000	
6    	0.0014678	0.00838741	0.0141538	0.00838741	0.0014678	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
7    	0.000479281	0.0017973	0.0017973	0.000479281	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
8    	6.73989e-05	0.000149775	6.73989e-05	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
9    	3.32834e-06	3.32834e-06	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10    	3.32834e-08	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	

Marginal distribution for x:
0	0.00614931
1	0.0559028
2	0.188672
3	0.309615
4	0.270914
5	0.130038
6	0.0338642
7	0.00455317
8	0.000284573
9	6.65668e-06
10	0.00614927

Marginal distribution for y:
0	0.0061526
1	0.0559702
2	0.189151
3	0.311083
4	0.273027
5	0.131506
6	0.0343435
7	0.00462057
8	0.000287901
9	6.68996e-06
10	3.32834e-08
